count,time_s,lux,press,temp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
127,1.888076,82.606979,1011.630127,29.703125,0.456787,0.814148,1.643066,6.031488,2.603996,70.916367,17.209915,42.650005,-240.762756
128,1.902843,82.606979,1011.619873,29.703125,0.4104,0.813171,1.651367,7.313227,-0.752937,69.878769,15.645379,44.229633,-245.30545
129,1.91552,82.606979,1011.592529,29.703125,0.413818,0.809753,1.631348,6.76391,0.406731,67.803574,20.338991,36.331486,-228.648911
130,1.928186,82.606979,1011.604004,29.703125,0.411377,0.817566,1.623535,5.115961,-1.241219,67.498398,3.129076,37.911118,-239.24852
131,1.942935,82.606979,1011.618896,29.703125,0.389893,0.803894,1.586914,2.430414,0.528801,70.611191,4.693614,36.331486,-228.648911
132,1.955587,82.606979,1011.623535,29.703125,0.389404,0.793152,1.51123,9.144281,-3.377449,83.245468,25.032606,34.751858,-224.106216
133,1.96826,82.606979,1011.613525,29.703125,0.432373,0.825867,1.519531,22.449945,3.885735,106.682968,25.032606,37.911118,-227.134674
134,1.980951,82.606979,1011.619873,29.703125,0.401123,0.845398,1.548828,36.121819,12.308586,120.90416,17.209915,39.490746,-222.591995
135,1.995739,82.606979,1011.619873,29.703125,0.397705,0.804871,1.657715,33.680412,10.538567,107.659531,12.516303,47.388897,-211.992355
136,2.008419,82.606979,1011.618896,29.703125,0.467529,0.858093,1.699219,25.562738,20.121086,98.382187,15.645379,37.911118,-215.020828
137,2.02111,82.606979,1011.608887,29.6875,0.391357,0.841003,1.707031,12.379145,15.177238,94.292831,28.161682,47.388897,-221.077759
138,2.033815,82.606979,1011.625488,29.6875,0.396729,0.822937,1.604004,8.900141,-6.429207,88.982773,21.90353,56.866676,-221.077759
139,2.048556,82.606979,1011.633789,29.6875,0.370361,0.820496,1.550293,2.430414,-19.795906,88.799667,18.774454,44.229633,-215.020828
140,2.06123,82.606979,1011.608398,29.6875,0.366455,0.815125,1.473145,5.115961,-20.833504,83.916855,45.371601,52.127785,-228.648911
141,2.073899,82.606979,1011.614258,29.6875,0.279541,0.82782,1.432129,9.937738,-21.687996,75.005722,37.548908,53.707417,-218.049286
142,2.08657,82.606979,1011.614258,29.6875,0.281982,0.824402,1.334473,22.877192,-23.824226,64.32457,39.113445,58.446304,-222.591995
143,2.101406,82.606979,1011.609619,29.6875,0.39917,0.838562,2.141113,144.520264,56.681145,53.216171,26.597143,61.605564,-204.421204
144,2.145851,82.606979,1011.576416,29.6875,0.280029,0.848328,1.876465,57.239983,-24.861824,58.709335,7.82269,67.924088,-195.335831
145,2.158569,82.606979,1011.635254,29.6875,0.331299,0.808289,1.764648,43.934319,-29.439461,49.065781,18.774454,53.707417,-208.963898
146,2.171254,82.606979,1011.625488,29.6875,0.18335,0.741394,1.638672,24.03686,-22.969734,39.178085,6.258152,66.344452,-211.992355
147,2.186072,82.606979,1011.619629,29.6875,0.334717,0.780457,1.640137,13.538813,-13.204109,28.191757,10.951765,64.764824,-222.591995
148,2.198804,85.576469,1011.621094,29.6875,0.261475,0.843445,1.691406,19.642328,10.11132,34.783554,18.774454,66.344452,-205.93544
149,2.211475,85.576469,1011.612793,29.6875,0.294678,0.858093,1.64209,28.553461,4.19091,48.882675,6.258152,63.185196,-202.906982
150,2.226215,85.576469,1011.614746,29.6875,0.237061,0.785339,1.669434,47.352287,-11.495125,61.944199,-1.564538,67.924088,-192.307358
151,2.238871,85.576469,1011.599854,29.6875,0.255127,0.812683,1.685547,58.521721,-22.603523,68.902206,6.258152,69.503716,-205.93544
152,2.251545,85.576469,1011.618408,29.6875,0.262451,0.757996,1.693848,60.413811,-27.30323,61.516953,-1.564538,58.446304,-201.392746
153,2.264195,85.576469,1011.607422,29.726562,0.280029,0.572937,1.679688,70.118401,-42.867195,44.79332,-3.129076,66.344452,-199.87851
154,2.278996,85.576469,1011.61377,29.726562,0.310303,0.568542,1.713867,74.696037,-69.661629,18.059921,0,69.503716,-218.049286
155,2.291643,85.576469,1011.593506,29.726562,0.206299,0.987,1.80957,68.043205,-100.118172,11.040878,-17.209915,58.446304,-210.478134
156,2.304341,85.576469,1011.593018,29.726562,0.489502,0.83905,1.862305,62.855217,-104.634773,8.416367,-12.516303,66.344452,-230.163147
157,2.317027,85.576469,1011.606201,29.726562,0.287842,1.076355,1.608398,60.352776,-97.981941,31.792831,-12.516303,66.344452,-227.134674
158,2.331835,85.576469,1011.626709,29.726562,0.421631,0.910339,1.592773,36.6101,-67.220222,63.714218,-26.597143,71.083344,-231.677368
159,2.344535,85.576469,1011.606934,29.726562,0.409912,1.110535,1.636719,16.773676,-63.252937,70.672226,-39.113445,64.764824,-231.677368
